Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.7137,0.5558,0.4442,0.6216,0.659,0.341
2,0.6234,0.6331,0.3669,0.5844,0.694,0.306
3,0.5907,0.6572,0.3428,0.5633,0.7115,0.2885
4,0.5697,0.6714,0.3286,0.5484,0.722,0.278
5,0.5534,0.6833,0.3167,0.5362,0.731,0.269
6,0.5401,0.6961,0.3039,0.5265,0.734,0.266
7,0.5285,0.708,0.292,0.5179,0.744,0.256
8,0.5186,0.715,0.285,0.5105,0.752,0.248
9,0.5096,0.7214,0.2786,0.5043,0.755,0.245
10,0.502,0.73,0.27,0.4978,0.763,0.237
11,0.4947,0.7355,0.2645,0.4936,0.765,0.235
12,0.4886,0.7397,0.2603,0.4882,0.768,0.232
13,0.4823,0.7481,0.2519,0.4835,0.769,0.231
14,0.4763,0.7525,0.2475,0.4792,0.773,0.227
15,0.4712,0.7557,0.2443,0.4755,0.777,0.223
16,0.4664,0.7569,0.2431,0.472,0.777,0.223
17,0.4612,0.7639,0.2361,0.4702,0.777,0.223
18,0.4574,0.7675,0.2325,0.466,0.779,0.221
19,0.4534,0.7703,0.2297,0.4631,0.7825,0.2175
20,0.4493,0.7731,0.2269,0.4608,0.783,0.217
21,0.4455,0.7744,0.2256,0.4588,0.785,0.215
22,0.4421,0.7772,0.2228,0.4559,0.786,0.214
23,0.4387,0.7814,0.2186,0.4544,0.7855,0.2145
24,0.4352,0.7828,0.2172,0.4521,0.7845,0.2155
25,0.4319,0.7859,0.2141,0.4509,0.7865,0.2135
26,0.429,0.7876,0.2124,0.4488,0.79,0.21
27,0.426,0.7897,0.2103,0.4473,0.791,0.209
28,0.4228,0.791,0.209,0.4456,0.788,0.212
29,0.4202,0.7923,0.2077,0.4445,0.789,0.211
30,0.4174,0.7966,0.2034,0.4425,0.7885,0.2115
31,0.4146,0.7975,0.2025,0.4419,0.788,0.212
32,0.4124,0.7983,0.2017,0.4407,0.7875,0.2125
33,0.4099,0.8019,0.1981,0.4388,0.79,0.21
34,0.4073,0.8015,0.1985,0.4375,0.7895,0.2105
35,0.405,0.8048,0.1952,0.4363,0.791,0.209
36,0.4029,0.8064,0.1936,0.435,0.792,0.208
37,0.4005,0.8084,0.1916,0.4343,0.789,0.211
38,0.3981,0.8094,0.1906,0.4343,0.7945,0.2055
39,0.3959,0.8106,0.1894,0.4326,0.793,0.207
40,0.3938,0.8143,0.1857,0.4319,0.7915,0.2085
41,0.3919,0.8124,0.1876,0.4302,0.7925,0.2075
42,0.3899,0.8159,0.1841,0.4292,0.79,0.21
43,0.3877,0.8174,0.1826,0.429,0.791,0.209
44,0.3857,0.8179,0.1821,0.4274,0.793,0.207
45,0.3834,0.8193,0.1807,0.4278,0.796,0.204
46,0.3822,0.8187,0.1813,0.4263,0.793,0.207
47,0.3797,0.8224,0.1776,0.4252,0.7975,0.2025
48,0.3779,0.8243,0.1757,0.4252,0.7925,0.2075
49,0.3761,0.8252,0.1748,0.4241,0.794,0.206
50,0.3741,0.8274,0.1726,0.4239,0.7975,0.2025
