Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.7072,0.5636,0.4364,0.6637,0.6245,0.3755
2,0.6455,0.6114,0.3886,0.6271,0.6615,0.3385
3,0.6167,0.6348,0.3652,0.6049,0.6805,0.3195
4,0.5964,0.6511,0.3489,0.5894,0.6925,0.3075
5,0.5806,0.668,0.332,0.5766,0.6985,0.3015
6,0.5671,0.6796,0.3204,0.5658,0.708,0.292
7,0.5559,0.6912,0.3088,0.5564,0.714,0.286
8,0.5459,0.6994,0.3006,0.5485,0.7225,0.2775
9,0.5371,0.7047,0.2953,0.541,0.7295,0.2705
10,0.529,0.7108,0.2892,0.5339,0.7335,0.2665
11,0.5215,0.7164,0.2836,0.5286,0.741,0.259
12,0.5149,0.7218,0.2782,0.5228,0.746,0.254
13,0.5089,0.7273,0.2727,0.5176,0.745,0.255
14,0.503,0.7327,0.2673,0.5136,0.7505,0.2495
15,0.4975,0.7355,0.2645,0.5088,0.753,0.247
16,0.4929,0.7394,0.2606,0.5054,0.755,0.245
17,0.4882,0.7458,0.2542,0.5019,0.758,0.242
18,0.484,0.7467,0.2533,0.4988,0.761,0.239
19,0.4797,0.7521,0.2479,0.4962,0.7615,0.2385
20,0.4759,0.752,0.248,0.4925,0.7645,0.2355
21,0.4719,0.7561,0.2439,0.49,0.765,0.235
22,0.4685,0.7563,0.2437,0.4871,0.7665,0.2335
23,0.4649,0.7621,0.2379,0.4848,0.764,0.236
24,0.4616,0.7625,0.2375,0.4824,0.77,0.23
25,0.4587,0.7685,0.2315,0.4802,0.77,0.23
26,0.4556,0.77,0.23,0.4785,0.772,0.228
27,0.4527,0.7707,0.2293,0.4763,0.7745,0.2255
28,0.45,0.7747,0.2253,0.4745,0.7745,0.2255
29,0.4472,0.7758,0.2242,0.4726,0.774,0.226
30,0.4445,0.7788,0.2212,0.4713,0.776,0.224
31,0.4421,0.7785,0.2215,0.469,0.7775,0.2225
32,0.4396,0.7809,0.2191,0.4676,0.777,0.223
33,0.4371,0.7832,0.2168,0.4662,0.778,0.222
34,0.4349,0.7834,0.2166,0.4649,0.7775,0.2225
35,0.4324,0.786,0.214,0.4634,0.7795,0.2205
36,0.4303,0.7896,0.2104,0.4619,0.781,0.219
37,0.428,0.7886,0.2114,0.4604,0.7785,0.2215
38,0.426,0.7929,0.2071,0.4591,0.78,0.22
39,0.4239,0.7929,0.2071,0.4579,0.7815,0.2185
40,0.4218,0.7916,0.2084,0.4569,0.7825,0.2175
41,0.4198,0.7947,0.2053,0.4556,0.783,0.217
42,0.4178,0.7991,0.2009,0.4548,0.7815,0.2185
43,0.4159,0.7967,0.2033,0.4538,0.7865,0.2135
44,0.4141,0.7976,0.2024,0.4526,0.7845,0.2155
45,0.4122,0.8005,0.1995,0.4517,0.785,0.215
46,0.4103,0.8017,0.1983,0.4507,0.7865,0.2135
47,0.4085,0.8038,0.1962,0.4495,0.7825,0.2175
48,0.4068,0.8052,0.1948,0.4489,0.7865,0.2135
49,0.4049,0.8045,0.1955,0.4487,0.7875,0.2125
50,0.4034,0.8071,0.1929,0.4473,0.7885,0.2115
