Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.765,0.5289,0.4711,0.6755,0.614,0.386
2,0.654,0.6043,0.3957,0.631,0.649,0.351
3,0.6184,0.635,0.365,0.6068,0.675,0.325
4,0.5947,0.6538,0.3462,0.5883,0.6905,0.3095
5,0.5758,0.6684,0.3316,0.5734,0.7005,0.2995
6,0.5599,0.6823,0.3177,0.5607,0.706,0.294
7,0.5467,0.6943,0.3057,0.5502,0.711,0.289
8,0.5347,0.7051,0.2949,0.54,0.7245,0.2755
9,0.5245,0.714,0.286,0.532,0.728,0.272
10,0.515,0.7254,0.2746,0.5241,0.7295,0.2705
11,0.5072,0.7289,0.2711,0.5174,0.7355,0.2645
12,0.4996,0.7369,0.2631,0.5115,0.7395,0.2605
13,0.493,0.7429,0.2571,0.5064,0.745,0.255
14,0.4866,0.7511,0.2489,0.502,0.7475,0.2525
15,0.481,0.7509,0.2491,0.4976,0.7545,0.2455
16,0.4757,0.7573,0.2427,0.4935,0.7575,0.2425
17,0.4709,0.7595,0.2405,0.4897,0.7605,0.2395
18,0.4664,0.7632,0.2368,0.4864,0.763,0.237
19,0.4622,0.7673,0.2327,0.4835,0.7645,0.2355
20,0.4582,0.7709,0.2291,0.481,0.7625,0.2375
21,0.4543,0.7722,0.2278,0.4787,0.7645,0.2355
22,0.4512,0.7747,0.2253,0.4757,0.765,0.235
23,0.4479,0.7771,0.2229,0.4737,0.7675,0.2325
24,0.4446,0.7801,0.2199,0.472,0.77,0.23
25,0.4415,0.7812,0.2188,0.4688,0.7685,0.2315
26,0.4387,0.784,0.216,0.4673,0.77,0.23
27,0.4358,0.7856,0.2144,0.4656,0.772,0.228
28,0.4331,0.7882,0.2118,0.4643,0.773,0.227
29,0.4302,0.7892,0.2108,0.4624,0.7765,0.2235
30,0.4278,0.7909,0.2091,0.4612,0.7785,0.2215
31,0.425,0.7923,0.2077,0.4593,0.7775,0.2225
32,0.4228,0.7939,0.2061,0.458,0.7805,0.2195
33,0.4206,0.7968,0.2032,0.4565,0.7825,0.2175
34,0.4183,0.7982,0.2018,0.4556,0.7825,0.2175
35,0.4161,0.7981,0.2019,0.4543,0.783,0.217
36,0.4139,0.8021,0.1979,0.454,0.782,0.218
37,0.4116,0.7989,0.2011,0.4535,0.7855,0.2145
38,0.4099,0.8031,0.1969,0.4515,0.7875,0.2125
39,0.4076,0.8032,0.1968,0.451,0.7845,0.2155
40,0.4057,0.8056,0.1944,0.4499,0.7875,0.2125
41,0.4037,0.8069,0.1931,0.4496,0.787,0.213
42,0.4018,0.8093,0.1907,0.4489,0.787,0.213
43,0.3999,0.8071,0.1929,0.4478,0.786,0.214
44,0.3981,0.8119,0.1881,0.4469,0.7875,0.2125
45,0.3961,0.8125,0.1875,0.447,0.788,0.212
46,0.3943,0.8117,0.1883,0.4458,0.7865,0.2135
47,0.3927,0.812,0.188,0.4452,0.789,0.211
48,0.3909,0.8151,0.1849,0.4444,0.7905,0.2095
49,0.3892,0.8181,0.1819,0.4437,0.792,0.208
50,0.3874,0.8173,0.1827,0.4432,0.792,0.208
