Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.6108,0.6481,0.3519,0.5122,0.752,0.248
2,0.4971,0.7406,0.2594,0.4727,0.779,0.221
3,0.4568,0.77,0.23,0.4491,0.7965,0.2035
4,0.4312,0.788,0.212,0.439,0.798,0.202
5,0.4125,0.7989,0.2011,0.4307,0.8025,0.1975
6,0.3956,0.8136,0.1864,0.4251,0.807,0.193
7,0.3809,0.8209,0.1791,0.4218,0.8045,0.1955
8,0.3682,0.8289,0.1711,0.4209,0.8065,0.1935
9,0.3557,0.835,0.165,0.4148,0.8095,0.1905
10,0.3428,0.8433,0.1567,0.4122,0.808,0.192
11,0.3353,0.8498,0.1502,0.4068,0.8105,0.1895
12,0.3216,0.8553,0.1447,0.4145,0.8055,0.1945
13,0.3124,0.8628,0.1372,0.4165,0.813,0.187
14,0.3041,0.8629,0.1371,0.4157,0.8155,0.1845
15,0.2934,0.8743,0.1257,0.397,0.826,0.174
16,0.283,0.8778,0.1222,0.4023,0.819,0.181
17,0.273,0.8823,0.1177,0.4007,0.8205,0.1795
18,0.2656,0.8868,0.1132,0.4037,0.8195,0.1805
19,0.2574,0.8897,0.1103,0.4124,0.8215,0.1785
20,0.2517,0.8919,0.1081,0.413,0.822,0.178
21,0.2405,0.8989,0.1011,0.4082,0.826,0.174
22,0.2334,0.9013,0.0987,0.4074,0.8295,0.1705
23,0.2254,0.9071,0.0929,0.4098,0.8265,0.1735
24,0.2193,0.9113,0.0887,0.4153,0.8195,0.1805
25,0.2119,0.9132,0.0868,0.429,0.8145,0.1855
26,0.2048,0.9203,0.0797,0.421,0.82,0.18
27,0.1958,0.9247,0.0753,0.4199,0.826,0.174
28,0.1901,0.9263,0.0737,0.4308,0.827,0.173
29,0.1829,0.9313,0.0687,0.4215,0.824,0.176
30,0.177,0.9317,0.0683,0.4279,0.823,0.177
31,0.1724,0.9371,0.0629,0.4385,0.8205,0.1795
32,0.1656,0.9369,0.0631,0.4254,0.8285,0.1715
33,0.1567,0.9419,0.0581,0.4606,0.8195,0.1805
34,0.1585,0.9411,0.0589,0.4437,0.8275,0.1725
35,0.1485,0.9483,0.0517,0.4396,0.828,0.172
36,0.1411,0.9504,0.0496,0.4774,0.814,0.186
37,0.1387,0.9517,0.0483,0.4603,0.8195,0.1805
38,0.1312,0.9552,0.0448,0.4541,0.827,0.173
39,0.1267,0.9578,0.0422,0.4895,0.816,0.184
40,0.1222,0.9605,0.0395,0.4722,0.8215,0.1785
41,0.1182,0.9639,0.0361,0.4819,0.8225,0.1775
42,0.1117,0.9661,0.0339,0.474,0.827,0.173
43,0.1076,0.9658,0.0342,0.4908,0.8255,0.1745
44,0.1046,0.9666,0.0334,0.4852,0.825,0.175
45,0.0982,0.9716,0.0284,0.4982,0.8245,0.1755
46,0.0928,0.9733,0.0267,0.5175,0.8165,0.1835
47,0.0914,0.973,0.027,0.5123,0.8175,0.1825
48,0.0868,0.9759,0.0241,0.5096,0.831,0.169
49,0.0853,0.9763,0.0237,0.5112,0.8205,0.1795
50,0.0796,0.9798,0.0202,0.5154,0.826,0.174
