Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.9551,0.5008,0.4992,0.6469,0.636,0.364
2,0.626,0.6352,0.3648,0.578,0.6915,0.3085
3,0.5728,0.6729,0.3271,0.5443,0.724,0.276
4,0.5431,0.6991,0.3009,0.5223,0.74,0.26
5,0.5215,0.7174,0.2826,0.5078,0.7555,0.2445
6,0.5057,0.7319,0.2681,0.4972,0.7655,0.2345
7,0.4922,0.742,0.258,0.4876,0.773,0.227
8,0.4812,0.7518,0.2482,0.4795,0.7765,0.2235
9,0.471,0.7571,0.2429,0.4721,0.7795,0.2205
10,0.4628,0.7643,0.2357,0.4669,0.7865,0.2135
11,0.4551,0.7721,0.2279,0.4613,0.7935,0.2065
12,0.448,0.7767,0.2233,0.4579,0.7955,0.2045
13,0.4417,0.78,0.22,0.4528,0.798,0.202
14,0.4357,0.7868,0.2132,0.4498,0.8005,0.1995
15,0.4301,0.7925,0.2075,0.4466,0.799,0.201
16,0.4249,0.7928,0.2072,0.4444,0.8,0.2
17,0.4196,0.7969,0.2031,0.4408,0.804,0.196
18,0.4149,0.7991,0.2009,0.4392,0.802,0.198
19,0.4107,0.8026,0.1974,0.4388,0.8025,0.1975
20,0.4059,0.8046,0.1954,0.4364,0.8055,0.1945
21,0.4021,0.8054,0.1946,0.4321,0.807,0.193
22,0.3974,0.8088,0.1912,0.4311,0.806,0.194
23,0.3935,0.8122,0.1878,0.4293,0.8105,0.1895
24,0.3897,0.8103,0.1897,0.4285,0.809,0.191
25,0.3862,0.8122,0.1878,0.4264,0.8085,0.1915
26,0.3822,0.8186,0.1814,0.4266,0.813,0.187
27,0.379,0.8179,0.1821,0.424,0.816,0.184
28,0.375,0.8204,0.1796,0.4224,0.817,0.183
29,0.3719,0.8225,0.1775,0.4215,0.814,0.186
30,0.3688,0.8233,0.1767,0.4206,0.813,0.187
31,0.3655,0.8265,0.1735,0.4198,0.8145,0.1855
32,0.3622,0.8299,0.1701,0.4179,0.8185,0.1815
33,0.3586,0.8297,0.1703,0.4176,0.816,0.184
34,0.3559,0.8318,0.1682,0.4161,0.817,0.183
35,0.3526,0.8344,0.1656,0.4154,0.8175,0.1825
36,0.3496,0.8346,0.1654,0.414,0.8195,0.1805
37,0.3468,0.8367,0.1633,0.4147,0.8175,0.1825
38,0.3436,0.8407,0.1593,0.4131,0.8195,0.1805
39,0.3406,0.8402,0.1598,0.414,0.8175,0.1825
40,0.3388,0.842,0.158,0.4111,0.8185,0.1815
41,0.3353,0.8453,0.1547,0.4103,0.8195,0.1805
42,0.3325,0.8467,0.1533,0.4096,0.8215,0.1785
43,0.3298,0.8475,0.1525,0.4094,0.8225,0.1775
44,0.3272,0.8509,0.1491,0.4095,0.8245,0.1755
45,0.3246,0.8502,0.1498,0.4076,0.8215,0.1785
46,0.322,0.8526,0.1474,0.4067,0.8245,0.1755
47,0.3198,0.8541,0.1459,0.406,0.824,0.176
48,0.3169,0.8564,0.1436,0.4068,0.8255,0.1745
49,0.3145,0.8561,0.1439,0.4073,0.8255,0.1745
50,0.3119,0.8572,0.1428,0.4047,0.8215,0.1785
