Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.7943,0.5007,0.4993,0.6424,0.6315,0.3685
2,0.6468,0.608,0.392,0.5949,0.682,0.318
3,0.6066,0.6447,0.3553,0.57,0.7045,0.2955
4,0.5825,0.6666,0.3334,0.5531,0.7235,0.2765
5,0.563,0.6849,0.3151,0.5408,0.737,0.263
6,0.5478,0.6948,0.3052,0.5284,0.743,0.257
7,0.535,0.7088,0.2912,0.5194,0.746,0.254
8,0.5241,0.7201,0.2799,0.5116,0.753,0.247
9,0.5139,0.7248,0.2752,0.5052,0.7535,0.2465
10,0.5056,0.7337,0.2663,0.4993,0.7585,0.2415
11,0.4976,0.738,0.262,0.4938,0.7665,0.2335
12,0.4911,0.7454,0.2546,0.4893,0.7645,0.2355
13,0.485,0.7472,0.2528,0.4852,0.772,0.228
14,0.4795,0.7536,0.2464,0.4816,0.7695,0.2305
15,0.4738,0.7573,0.2427,0.4781,0.77,0.23
16,0.4688,0.7623,0.2377,0.4742,0.774,0.226
17,0.4644,0.7663,0.2337,0.4712,0.7755,0.2245
18,0.4601,0.7656,0.2344,0.4687,0.7755,0.2245
19,0.4552,0.7698,0.2302,0.466,0.781,0.219
20,0.4514,0.7716,0.2284,0.4645,0.779,0.221
21,0.4475,0.7769,0.2231,0.4617,0.78,0.22
22,0.4437,0.7775,0.2225,0.4595,0.783,0.217
23,0.4399,0.7812,0.2188,0.4574,0.783,0.217
24,0.4365,0.7841,0.2159,0.4557,0.785,0.215
25,0.4333,0.7849,0.2151,0.455,0.781,0.219
26,0.4301,0.7878,0.2122,0.4526,0.788,0.212
27,0.4269,0.791,0.209,0.45,0.7915,0.2085
28,0.4239,0.7939,0.2061,0.449,0.7875,0.2125
29,0.4209,0.7958,0.2042,0.4479,0.7915,0.2085
30,0.4182,0.7967,0.2033,0.4468,0.7915,0.2085
31,0.4154,0.7987,0.2013,0.4446,0.793,0.207
32,0.4127,0.7991,0.2009,0.4433,0.7975,0.2025
33,0.4101,0.8003,0.1997,0.4426,0.7965,0.2035
34,0.4076,0.8021,0.1979,0.4416,0.794,0.206
35,0.405,0.8046,0.1954,0.4407,0.796,0.204
36,0.4027,0.8057,0.1943,0.4395,0.796,0.204
37,0.4005,0.809,0.191,0.4386,0.7975,0.2025
38,0.3979,0.8093,0.1907,0.4385,0.7965,0.2035
39,0.3961,0.8111,0.1889,0.4369,0.7965,0.2035
40,0.3939,0.8098,0.1902,0.4359,0.7955,0.2045
41,0.3916,0.8151,0.1849,0.4347,0.7985,0.2015
42,0.3893,0.8146,0.1854,0.4346,0.7985,0.2015
43,0.3875,0.8151,0.1849,0.4337,0.797,0.203
44,0.3855,0.8167,0.1833,0.433,0.7995,0.2005
45,0.3836,0.8159,0.1841,0.4321,0.799,0.201
46,0.3816,0.8191,0.1809,0.4314,0.801,0.199
47,0.3797,0.8213,0.1787,0.4303,0.8015,0.1985
48,0.3777,0.8222,0.1778,0.4297,0.801,0.199
49,0.3757,0.8231,0.1769,0.4296,0.8015,0.1985
50,0.3739,0.8238,0.1762,0.4284,0.8015,0.1985
