Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.6573,0.6264,0.3736,0.5358,0.729,0.271
2,0.5084,0.7226,0.2774,0.4798,0.773,0.227
3,0.4624,0.7649,0.2351,0.4615,0.778,0.222
4,0.4342,0.7831,0.2169,0.4529,0.7795,0.2205
5,0.4122,0.7966,0.2034,0.437,0.7925,0.2075
6,0.3954,0.8097,0.1903,0.4306,0.7915,0.2085
7,0.3802,0.8208,0.1792,0.4232,0.8065,0.1935
8,0.3669,0.8286,0.1714,0.4263,0.8,0.2
9,0.356,0.834,0.166,0.4162,0.8035,0.1965
10,0.3433,0.8426,0.1574,0.418,0.8045,0.1955
11,0.3325,0.8473,0.1527,0.4088,0.8065,0.1935
12,0.3223,0.8539,0.1461,0.4098,0.8105,0.1895
13,0.3128,0.8616,0.1384,0.4112,0.8195,0.1805
14,0.3025,0.8623,0.1377,0.4202,0.8145,0.1855
15,0.2958,0.8669,0.1331,0.403,0.813,0.187
16,0.2865,0.8709,0.1291,0.4087,0.8165,0.1835
17,0.2773,0.8813,0.1187,0.4022,0.818,0.182
18,0.2683,0.884,0.116,0.4117,0.819,0.181
19,0.2602,0.8878,0.1122,0.4038,0.822,0.178
20,0.2532,0.8903,0.1097,0.4107,0.822,0.178
21,0.247,0.8966,0.1034,0.414,0.82,0.18
22,0.2388,0.9015,0.0985,0.4116,0.8185,0.1815
23,0.2302,0.9067,0.0933,0.4142,0.818,0.182
24,0.2212,0.908,0.092,0.4104,0.823,0.177
25,0.2155,0.9116,0.0884,0.4174,0.8215,0.1785
26,0.2081,0.9142,0.0858,0.4178,0.819,0.181
27,0.2009,0.9175,0.0825,0.4272,0.82,0.18
28,0.1975,0.918,0.082,0.4168,0.8255,0.1745
29,0.1904,0.9254,0.0746,0.4217,0.8245,0.1755
30,0.1825,0.9298,0.0702,0.4315,0.8115,0.1885
31,0.1799,0.9303,0.0697,0.4245,0.826,0.174
32,0.1718,0.9344,0.0656,0.4344,0.8245,0.1755
33,0.1652,0.9376,0.0624,0.4263,0.822,0.178
34,0.1606,0.9393,0.0607,0.4405,0.8275,0.1725
35,0.1551,0.9426,0.0574,0.4382,0.82,0.18
36,0.1477,0.9459,0.0541,0.4357,0.8215,0.1785
37,0.1451,0.9482,0.0518,0.4586,0.814,0.186
38,0.14,0.9498,0.0502,0.4472,0.8195,0.1805
39,0.1339,0.9505,0.0495,0.4417,0.827,0.173
40,0.1304,0.9562,0.0438,0.4577,0.8155,0.1845
41,0.1233,0.9586,0.0414,0.4631,0.8175,0.1825
42,0.1217,0.9593,0.0407,0.4532,0.8205,0.1795
43,0.1154,0.9613,0.0387,0.4571,0.8225,0.1775
44,0.1095,0.9655,0.0345,0.4701,0.8245,0.1755
45,0.1078,0.9655,0.0345,0.4651,0.826,0.174
46,0.103,0.9669,0.0331,0.4652,0.8285,0.1715
47,0.0987,0.9698,0.0302,0.4826,0.823,0.177
48,0.0932,0.9744,0.0256,0.4873,0.819,0.181
49,0.089,0.9771,0.0229,0.4838,0.825,0.175
50,0.0862,0.9759,0.0241,0.5275,0.815,0.185
