Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.6736,0.5727,0.4273,0.6283,0.636,0.364
2,0.6299,0.6174,0.3826,0.6014,0.658,0.342
3,0.6072,0.638,0.362,0.5843,0.6795,0.3205
4,0.591,0.6561,0.3439,0.5718,0.694,0.306
5,0.5781,0.6673,0.3327,0.5611,0.7055,0.2945
6,0.5672,0.6776,0.3224,0.5516,0.7165,0.2835
7,0.5573,0.6904,0.3096,0.5441,0.7235,0.2765
8,0.5484,0.6986,0.3014,0.5361,0.7315,0.2685
9,0.5403,0.7004,0.2996,0.5294,0.735,0.265
10,0.5332,0.712,0.288,0.5226,0.741,0.259
11,0.5262,0.7139,0.2861,0.5174,0.7445,0.2555
12,0.52,0.719,0.281,0.5119,0.752,0.248
13,0.514,0.7268,0.2732,0.5078,0.751,0.249
14,0.5087,0.7276,0.2724,0.5033,0.756,0.244
15,0.5035,0.7361,0.2639,0.4991,0.7645,0.2355
16,0.4983,0.7387,0.2613,0.4951,0.7655,0.2345
17,0.4936,0.7427,0.2573,0.4912,0.7685,0.2315
18,0.4892,0.749,0.251,0.4882,0.77,0.23
19,0.4852,0.7519,0.2481,0.4847,0.7735,0.2265
20,0.4812,0.7536,0.2464,0.4817,0.773,0.227
21,0.4774,0.7592,0.2408,0.4793,0.7735,0.2265
22,0.474,0.7593,0.2407,0.4765,0.7755,0.2245
23,0.4706,0.7603,0.2397,0.4739,0.7775,0.2225
24,0.4673,0.7617,0.2383,0.4717,0.782,0.218
25,0.4642,0.7678,0.2322,0.4698,0.781,0.219
26,0.4612,0.7679,0.2321,0.4681,0.7835,0.2165
27,0.4582,0.7697,0.2303,0.4656,0.7825,0.2175
28,0.4554,0.7729,0.2271,0.4637,0.786,0.214
29,0.4529,0.7739,0.2261,0.4619,0.7855,0.2145
30,0.4501,0.7763,0.2237,0.4605,0.786,0.214
31,0.4475,0.7782,0.2218,0.4587,0.7875,0.2125
32,0.4451,0.7801,0.2199,0.4571,0.7875,0.2125
33,0.4426,0.782,0.218,0.456,0.7875,0.2125
34,0.4401,0.7835,0.2165,0.4544,0.7855,0.2145
35,0.438,0.7843,0.2157,0.4533,0.7875,0.2125
36,0.4358,0.7881,0.2119,0.4519,0.79,0.21
37,0.4336,0.7887,0.2113,0.451,0.7895,0.2105
38,0.4317,0.7898,0.2102,0.4496,0.789,0.211
39,0.4297,0.791,0.209,0.4486,0.788,0.212
40,0.4276,0.7928,0.2072,0.4477,0.787,0.213
41,0.4258,0.7936,0.2064,0.4467,0.7885,0.2115
42,0.4238,0.7951,0.2049,0.446,0.7855,0.2145
43,0.4219,0.7963,0.2037,0.4449,0.788,0.212
44,0.4204,0.7977,0.2023,0.4438,0.788,0.212
45,0.4184,0.7999,0.2001,0.4434,0.788,0.212
46,0.4167,0.7978,0.2022,0.4425,0.7845,0.2155
47,0.415,0.7995,0.2005,0.4417,0.7855,0.2145
48,0.4134,0.802,0.198,0.4407,0.787,0.213
49,0.4117,0.8013,0.1987,0.44,0.789,0.211
50,0.4104,0.8043,0.1957,0.4396,0.7855,0.2145
