Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.8387,0.4555,0.5445,0.834,0.451,0.549
2,0.8142,0.4696,0.5304,0.8062,0.4715,0.5285
3,0.7907,0.4868,0.5132,0.7817,0.4895,0.5105
4,0.7699,0.5016,0.4984,0.7598,0.511,0.489
5,0.7518,0.5146,0.4854,0.7407,0.5235,0.4765
6,0.7358,0.5244,0.4756,0.7237,0.54,0.46
7,0.7219,0.5335,0.4665,0.7091,0.5655,0.4345
8,0.7097,0.5433,0.4567,0.6963,0.585,0.415
9,0.6989,0.5523,0.4477,0.6856,0.5965,0.4035
10,0.6896,0.5588,0.4412,0.676,0.6035,0.3965
11,0.6813,0.5671,0.4329,0.6676,0.611,0.389
12,0.6739,0.5742,0.4258,0.6602,0.618,0.382
13,0.6674,0.5812,0.4188,0.6536,0.626,0.374
14,0.6613,0.5869,0.4131,0.6478,0.633,0.367
15,0.6561,0.5928,0.4072,0.6426,0.6395,0.3605
16,0.6512,0.5987,0.4013,0.6378,0.643,0.357
17,0.6465,0.6041,0.3959,0.6333,0.6495,0.3505
18,0.6423,0.6077,0.3923,0.6294,0.651,0.349
19,0.6384,0.6121,0.3879,0.6258,0.656,0.344
20,0.6347,0.6154,0.3846,0.6223,0.659,0.341
21,0.6311,0.6191,0.3809,0.6191,0.664,0.336
22,0.6278,0.6232,0.3768,0.6161,0.665,0.335
23,0.6246,0.6255,0.3745,0.6131,0.668,0.332
24,0.6216,0.6277,0.3723,0.6105,0.6715,0.3285
25,0.6186,0.6311,0.3689,0.6078,0.6745,0.3255
26,0.6158,0.6333,0.3667,0.6054,0.6745,0.3255
27,0.613,0.6381,0.3619,0.603,0.6785,0.3215
28,0.6105,0.6387,0.3613,0.6008,0.6795,0.3205
29,0.6081,0.641,0.359,0.5987,0.6825,0.3175
30,0.6057,0.6443,0.3557,0.5966,0.685,0.315
31,0.6034,0.6477,0.3523,0.5946,0.685,0.315
32,0.6011,0.6492,0.3508,0.5928,0.687,0.313
33,0.599,0.6496,0.3504,0.5909,0.6915,0.3085
34,0.5968,0.6514,0.3486,0.5891,0.693,0.307
35,0.5947,0.6539,0.3461,0.5873,0.6965,0.3035
36,0.5927,0.6556,0.3444,0.5857,0.7,0.3
37,0.5907,0.6568,0.3432,0.5841,0.7,0.3
38,0.5888,0.6576,0.3424,0.5824,0.703,0.297
39,0.587,0.6597,0.3403,0.5808,0.705,0.295
40,0.5851,0.662,0.338,0.5794,0.708,0.292
41,0.5833,0.6647,0.3353,0.578,0.7095,0.2905
42,0.5816,0.6659,0.3341,0.5765,0.7115,0.2885
43,0.5799,0.6667,0.3333,0.5751,0.713,0.287
44,0.5783,0.6677,0.3323,0.5738,0.714,0.286
45,0.5767,0.6682,0.3318,0.5724,0.7145,0.2855
46,0.5751,0.6711,0.3289,0.5711,0.717,0.283
47,0.5736,0.6725,0.3275,0.5698,0.7185,0.2815
48,0.572,0.6735,0.3265,0.5686,0.7205,0.2795
49,0.5706,0.675,0.325,0.5674,0.7195,0.2805
50,0.5692,0.6759,0.3241,0.5663,0.7195,0.2805
