Epoch,Train Loss,Train Acc,Train Error,Val Loss,Val Acc,Val Error
1,0.7606,0.5256,0.4744,0.6657,0.6315,0.3685
2,0.6581,0.6066,0.3934,0.6259,0.657,0.343
3,0.6222,0.6365,0.3635,0.6008,0.685,0.315
4,0.5978,0.6579,0.3421,0.5827,0.697,0.303
5,0.5786,0.6697,0.3303,0.5684,0.709,0.291
6,0.5627,0.6853,0.3147,0.5559,0.7245,0.2755
7,0.5493,0.6975,0.3025,0.5447,0.7325,0.2675
8,0.5381,0.7054,0.2946,0.5357,0.7375,0.2625
9,0.5277,0.7134,0.2866,0.5282,0.741,0.259
10,0.519,0.7182,0.2818,0.5208,0.747,0.253
11,0.5106,0.7266,0.2734,0.5144,0.752,0.248
12,0.5033,0.732,0.268,0.5097,0.7575,0.2425
13,0.4968,0.7375,0.2625,0.504,0.76,0.24
14,0.4902,0.7441,0.2559,0.4992,0.761,0.239
15,0.4845,0.7475,0.2525,0.4946,0.762,0.238
16,0.4794,0.7498,0.2502,0.4915,0.763,0.237
17,0.4745,0.7581,0.2419,0.4881,0.766,0.234
18,0.4698,0.7584,0.2416,0.4848,0.77,0.23
19,0.4655,0.7635,0.2365,0.482,0.769,0.231
20,0.4613,0.7666,0.2334,0.4786,0.773,0.227
21,0.4573,0.77,0.23,0.4762,0.772,0.228
22,0.4533,0.774,0.226,0.4739,0.77,0.23
23,0.4498,0.7738,0.2262,0.4716,0.7765,0.2235
24,0.4462,0.776,0.224,0.469,0.775,0.225
25,0.4429,0.7787,0.2213,0.4676,0.7775,0.2225
26,0.4395,0.7808,0.2192,0.465,0.779,0.221
27,0.4365,0.7818,0.2182,0.4641,0.777,0.223
28,0.4338,0.7847,0.2153,0.4616,0.782,0.218
29,0.4306,0.7873,0.2127,0.4599,0.783,0.217
30,0.4277,0.7901,0.2099,0.4587,0.7805,0.2195
31,0.4255,0.7874,0.2126,0.4567,0.7875,0.2125
32,0.4224,0.7948,0.2052,0.4554,0.783,0.217
33,0.4199,0.7941,0.2059,0.454,0.788,0.212
34,0.4172,0.7967,0.2033,0.4525,0.7895,0.2105
35,0.415,0.7962,0.2038,0.4511,0.786,0.214
36,0.4126,0.7986,0.2014,0.45,0.787,0.213
37,0.4102,0.7998,0.2002,0.4495,0.7875,0.2125
38,0.4078,0.8032,0.1968,0.4479,0.7885,0.2115
39,0.4057,0.8034,0.1966,0.4472,0.7895,0.2105
40,0.4033,0.8051,0.1949,0.4457,0.791,0.209
41,0.4014,0.8053,0.1947,0.4447,0.7905,0.2095
42,0.3992,0.8056,0.1944,0.4446,0.7885,0.2115
43,0.3969,0.8088,0.1912,0.4431,0.792,0.208
44,0.395,0.8103,0.1897,0.442,0.7915,0.2085
45,0.3924,0.8126,0.1874,0.442,0.7895,0.2105
46,0.391,0.8093,0.1907,0.4406,0.7915,0.2085
47,0.3887,0.8131,0.1869,0.4397,0.792,0.208
48,0.3868,0.8147,0.1853,0.4388,0.7955,0.2045
49,0.3849,0.8152,0.1848,0.4379,0.7955,0.2045
50,0.3829,0.8164,0.1836,0.4372,0.791,0.209
